Tipo de evento;Event type;Nome;Name;Data;ImageName
Dia Comunitário;Community Day;Pikachu;Pikachu;20/01/2018;GO_Community_Day_Logo
Dia Comunitário;Community Day;Dratini;Dratini;24/02/2018;GO_Community_Day_Logo
Dia Comunitário;Community Day;Bulbasaur;Bulbasaur;25/03/2018;GO_Community_Day_Logo
Dia Comunitário;Community Day;Mareep;Mareep;15/04/2018;GO_Community_Day_Logo
Dia Comunitário;Community Day;Charmander;Charmander;19/05/2018;GO_Community_Day_Logo
Dia Comunitário;Community Day;Larvitar;Larvitar;16/06/2018;GO_Community_Day_Logo
Dia Comunitário;Community Day;Squirtle;Squirtle;08/07/2018;GO_Community_Day_Logo
Dia Comunitário;Community Day;Eevee;Eevee;11/08/2018;GO_Community_Day_Logo
Dia Comunitário;Community Day;Eevee;Eevee;12/08/2018;GO_Community_Day_Logo
Dia Comunitário;Community Day;Chikorita;Chikorita;22/09/2018;GO_Community_Day_Logo
Dia Comunitário;Community Day;Beldum;Beldum;21/10/2018;GO_Community_Day_Logo
Dia Comunitário;Community Day;Cyndaquil;Cyndaquil;10/11/2018;GO_Community_Day_Logo
Dia Comunitário;Community Day;Celebração de 2018;2018 Celebration;30/11/2018;GO_Community_Day_Logo
Dia Comunitário;Community Day;Celebração de 2019;2018 Celebration;01/12/2018;GO_Community_Day_Logo
Dia Comunitário;Community Day;Celebração de 2020;2018 Celebration;02/12/2018;GO_Community_Day_Logo
Dia Comunitário;Community Day;Totodile;Totodile;12/01/2019;GO_Community_Day_Logo
Dia Comunitário;Community Day;Swinub;Swinub;16/02/2019;GO_Community_Day_Logo
Dia Comunitário;Community Day;Treecko;Treecko;23/03/2019;GO_Community_Day_Logo
Dia Comunitário;Community Day;Bagon;Bagon;13/04/2019;GO_Community_Day_Logo
Dia Comunitário;Community Day;Torchic;Torchic;19/05/2019;GO_Community_Day_Logo
Dia Comunitário;Community Day;Slakoth;Slakoth;08/06/2019;GO_Community_Day_Logo
Dia Comunitário;Community Day;Mudkip;Mudkip;21/07/2019;GO_Community_Day_Logo
Dia Comunitário;Community Day;Ralts;Ralts;03/08/2019;GO_Community_Day_Logo
Dia Comunitário;Community Day;Turtwig;Turtwig;15/09/2019;GO_Community_Day_Logo
Dia Comunitário;Community Day;Trapinch;Trapinch;12/10/2019;GO_Community_Day_Logo
Dia Comunitário;Community Day;Chimchar;Chimchar;16/11/2019;GO_Community_Day_Logo
Dia Comunitário;Community Day;Celebração de 2019;2019 Celebration;14/12/2019;GO_Community_Day_Logo
Dia Comunitário;Community Day;Celebração de 2019;2019 Celebration;15/12/2019;GO_Community_Day_Logo
Dia Comunitário;Community Day;Piplup;Piplup;19/01/2020;GO_Community_Day_Logo
Dia Comunitário;Community Day;Rhyhorn;Rhyhorn;22/02/2020;GO_Community_Day_Logo
Dia Comunitário;Community Day;Abra;Abra;25/04/2020;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Seedot;Seedot;24/05/2020;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Weedle;Weedle;20/06/2020;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Gastly;Gastly;19/07/2020;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Magikarp;Magikarp;08/08/2020;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Porygon;Porygon;20/09/2020;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Charmander;Charmander;17/10/2020;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Electabuzz;Electabuzz;15/11/2020;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Magmar;Magmar;21/11/2020;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Celebração de 2020;2020 Celebration;12/12/2020;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Celebração de 2020;2020 Celebration;13/12/2020;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Machop;Machop;16/01/2021;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Roselia;Roselia;07/02/2021;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Fletchling;Fletchling;06/03/2021;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Snivy;Snivy;11/04/2021;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Swablu;Swablu;15/05/2021;GO_Community_Day_Logo
Dia Comunitário: edição jogue de casa;Community Day: Play at Home edition;Gible;Gible;06/06/2021;GO_Community_Day_Logo
